paper_num,output
82,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': None, 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': '(2S)-2-(Dodecanoyloxy)-3-(trimethylammonio)-1-propanol phosphate', 'control_pce': 17.1, 'treated_pce': 19.6, 'control_voc': 1.04, 'treated_voc': 1.08, 'test_2': {'stability_type': 'ISOSD', 'humidity': '55-85', 'temperature': None, 'time': 800.0, 'efficiency_cont': 70.0, 'efficiency_tret': None}}"
85,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': None, 'hole_transport_layer': 'Poly(3-hexylthiophene)', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'n-hexyl trimethyl ammonium bromide', 'control_pce': None, 'treated_pce': 22.7, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': None, 'time': 1370.0, 'efficiency_cont': 0.0, 'efficiency_tret': 95.0}, 'test_1': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': None, 'time': 1008.0, 'efficiency_cont': 0.0, 'efficiency_tret': 80.0}}"
95,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'octylammonium iodide', 'control_pce': 5.9, 'treated_pce': 22.9, 'control_voc': None, 'treated_voc': 1.13}"
95,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'butylammonium iodide', 'control_pce': 5.9, 'treated_pce': 10.5, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSD', 'humidity': 65.0, 'temperature': 65.0, 'time': 100.0, 'efficiency_cont': 20.0, 'efficiency_tret': 20.0}}"
95,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'dodecylammonium iodide', 'control_pce': 5.9, 'treated_pce': 15.1, 'control_voc': None, 'treated_voc': None, 'test_3': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': None, 'time': 100.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}, 'test_4': {'stability_type': 'ISOSD', 'humidity': 65.0, 'temperature': 65.0, 'time': 100.0, 'efficiency_cont': 20.0, 'efficiency_tret': 80.0}}"
96,"{'perovskite_composition': '(FAPbI3)0.85(MAPbBr3)0.15', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'tin(IV) bis(acetylacetonate) dichloride', 'control_pce': None, 'treated_pce': 21.1, 'control_voc': None, 'treated_voc': None}"
96,"{'perovskite_composition': '(FAPbI3)0.85(MAPbBr3)0.15', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'tin(IV) bis(acetylacetonate) dibromide', 'control_pce': None, 'treated_pce': 20.0, 'control_voc': None, 'treated_voc': None}"
97,"{'perovskite_composition': 'Cs 0.05 (FA0.92MA0.08)0.95Pb(I0.92Br0.08)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'oleylamine iodide', 'control_pce': 19.2, 'treated_pce': 21.2, 'control_voc': 1.06, 'treated_voc': 1.17, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1000.0, 'efficiency_cont': 58.0, 'efficiency_tret': 100.0}, 'test_2': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 85.0, 'time': 1020.0, 'efficiency_cont': 61.0, 'efficiency_tret': 90.0}}"
99,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Ammonium iodide', 'control_pce': 18.0, 'treated_pce': 21.0, 'control_voc': 1.08, 'treated_voc': 1.14, 'test_2': {'stability_type': 'ISOSO', 'humidity': None, 'temperature': None, 'time': 180.0, 'efficiency_cont': 0.0, 'efficiency_tret': 94.0}, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 82.0}}"
107,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': '(2-phenylethylammonium) sulfonyl fluoride', 'control_pce': 15.3, 'treated_pce': 21.2, 'control_voc': 1.05, 'treated_voc': 1.12, 'test_3': {'stability_type': 'ISOSLT', 'humidity': '50-60', 'temperature': None, 'time': 1000.0, 'efficiency_cont': 50.0, 'efficiency_tret': 91.0}}"
107,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'phenethylammonium', 'control_pce': 15.3, 'treated_pce': 18.3, 'control_voc': 1.05, 'treated_voc': 1.08, 'test_4': {'stability_type': 'ISOSLT', 'humidity': '50-60', 'temperature': None, 'time': 400.0, 'efficiency_cont': None, 'efficiency_tret': 50.0}}"
113,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Formamidinium tin(III) chloride\\', 'control_pce': None, 'treated_pce': 25.5, 'control_voc': None, 'treated_voc': 1.18, 'test_1': {'stability_type': 'ISOSL1', 'humidity': None, 'temperature': None, 'time': 500.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
114,"{'perovskite_composition': 'Cs 0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'piperazinium iodide', 'control_pce': 20.7, 'treated_pce': 23.3, 'control_voc': 1.06, 'treated_voc': 1.17, 'test_2': {'stability_type': 'ISOSLT', 'humidity': '55+-5', 'temperature': 25.0, 'time': None, 'efficiency_cont': 40.0, 'efficiency_tret': 93.0}, 'test_3': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 200.0, 'efficiency_cont': 87.0, 'efficiency_tret': 90.0}}"
118,"{'perovskite_composition': 'Cs0.03(FA0.97MA0.03)0.97Pb(I0.97Br0.03)3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'n-Butylammonium bromide', 'control_pce': 24.6, 'treated_pce': 24.5, 'control_voc': 1.15, 'treated_voc': 1.21, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 516.0, 'efficiency_cont': 6.0, 'efficiency_tret': 91.0}}"
120,"{'perovskite_composition': '(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triaryl amine)', 'structure_pin_nip': 'PIN', 'passivating_molecule': ""1,1'-bis(2-carboxythiophenyl)ferrocene"", 'control_pce': 23.0, 'treated_pce': 25.0, 'control_voc': 1.13, 'treated_voc': 1.18, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1500.0, 'efficiency_cont': 72.0, 'efficiency_tret': 98.0}}"
122,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Rubidium Chloride', 'control_pce': 24.6, 'treated_pce': 25.6, 'control_voc': 1.17, 'treated_voc': 1.18, 'test_2': {'stability_type': 'ISOSD', 'humidity': None, 'temperature': None, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 96.0}, 'test_1': {'stability_type': 'ISOSD', 'humidity': None, 'temperature': 85.0, 'time': 500.0, 'efficiency_cont': 50.0, 'efficiency_tret': 80.0}}"
123,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'P3CT-N', 'structure_pin_nip': None, 'passivating_molecule': 'pyridine-2-carboxylic lead and hexamethyldisilathiane', 'control_pce': 21.8, 'treated_pce': 24.3, 'control_voc': 1.09, 'treated_voc': 1.19, 'test_1': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 85.0, 'time': 2200.0, 'efficiency_cont': 73.2, 'efficiency_tret': 91.8}}"
123,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'P3CT-N', 'structure_pin_nip': None, 'passivating_molecule': 'phenethylammonium iodide', 'control_pce': None, 'treated_pce': 22.4, 'control_voc': None, 'treated_voc': None}"
124,"{'perovskite_composition': 'Cs 0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3', 'electron_transport_layer': 'PC 61 BM', 'hole_transport_layer': 'MeO-2PACz', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'b-poly(1 1-difluoroethylene)', 'control_pce': 22.3, 'treated_pce': 24.6, 'control_voc': 1.13, 'treated_voc': 1.18, 'test_1': {'stability_type': None, 'humidity': None, 'temperature': 25.0, 'time': 1000.0, 'efficiency_cont': 84.0, 'efficiency_tret': 93.0}, 'test_2': {'stability_type': None, 'humidity': None, 'temperature': 75.0, 'time': 1000.0, 'efficiency_cont': 56.0, 'efficiency_tret': 88.0}, 'test_3': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 80.0, 'time': None, 'efficiency_cont': 75.6, 'efficiency_tret': 98.9}, 'test_4': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 60.0, 'time': None, 'efficiency_cont': 63.0, 'efficiency_tret': 88.7}}"
126,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'lead oxalate', 'control_pce': 23.4, 'treated_pce': 25.3, 'control_voc': 1.16, 'treated_voc': 1.18, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 550.0, 'efficiency_cont': 60.0, 'efficiency_tret': 92.0}}"
127,"{'perovskite_composition': 'Cs0.15FA0.85PbI2.8Cl0.2', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'Bis(Phenylethylammonium) Zinc Iodide', 'control_pce': 18.6, 'treated_pce': 24.1, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': 40.0, 'time': 1009.0, 'efficiency_cont': None, 'efficiency_tret': 94.5}}"
127,"{'perovskite_composition': 'Cs0.15FA0.85PbI2.8Cl0.2', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'Bis(Phenylethylammonium) Zinc Chloride', 'control_pce': 18.6, 'treated_pce': 24.1, 'control_voc': None, 'treated_voc': None, 'test_2': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': 40.0, 'time': 1009.0, 'efficiency_cont': None, 'efficiency_tret': 94.5}}"
131,"{'perovskite_composition': 'FA0.95MA0.05Pb(I0.92Br0.08)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'Aluminum Oxide', 'control_pce': 23.0, 'treated_pce': 25.5, 'control_voc': 1.13, 'treated_voc': 1.19, 'test_1': {'stability_type': 'ISOSL', 'humidity': None, 'temperature': 85.0, 'time': 1000.0, 'efficiency_cont': 80.0, 'efficiency_tret': 98.0}, 'test_2': {'stability_type': 'ISOSD', 'humidity': None, 'temperature': '35-40', 'time': 1000.0, 'efficiency_cont': 80.0, 'efficiency_tret': 98.0}}"
133,"{'perovskite_composition': 'Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'Me-4PACz', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'sodium thioglycolate', 'control_pce': 22.5, 'treated_pce': 24.5, 'control_voc': 1.14, 'treated_voc': 1.19, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 900.0, 'efficiency_cont': None, 'efficiency_tret': 96.0}}"
137,"{'perovskite_composition': 'Cs0.05MA0.05FA0.90PbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'passivating_molecule': '3-diammonium iodide,propane-1 / 3-(methylthio)propylamine hydroiodide bilayer', 'control_pce': 22.8, 'treated_pce': 26.4, 'control_voc': 1.12, 'treated_voc': 1.17, 'test_1': {'stability_type': 'ISOSD2', 'humidity': None, 'temperature': 85.0, 'time': 1600.0, 'efficiency_cont': 84.0, 'efficiency_tret': 95.0}, 'test_2': {'stability_type': 'ISOSL3', 'humidity': 50.0, 'temperature': 65.0, 'time': 2000.0, 'efficiency_cont': 70.0, 'efficiency_tret': 96.0}}"
142,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'passivating_molecule': 'butylammonium iodide', 'control_pce': None, 'treated_pce': 16.1, 'control_voc': None, 'treated_voc': 1.03, 'test_2': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 85.0, 'time': None, 'efficiency_cont': None, 'efficiency_tret': 74.0}, 'test_1': {'stability_type': 'ISOSD', 'humidity': 65.0, 'temperature': None, 'time': 1200.0, 'efficiency_cont': None, 'efficiency_tret': 71.0}}"
143,"{'perovskite_composition': '(FAPbI3)0.77(MAPbBr3)0.14(CsPbI3)0.09', 'electron_transport_layer': None, 'hole_transport_layer': 'copper(I) thiocyanate', 'structure_pin_nip': None, 'passivating_molecule': 'fluorophenylethylammonium lead iodide', 'control_pce': 18.0, 'treated_pce': 18.0, 'control_voc': 1.13, 'treated_voc': 1.08}"
143,"{'perovskite_composition': '(FAPbI3)0.77(MAPbBr3)0.14(CsPbI3)0.09', 'electron_transport_layer': None, 'hole_transport_layer': 'copper(I) thiocyanate', 'structure_pin_nip': None, 'passivating_molecule': 'phenylethylammonium lead iodide', 'control_pce': 18.0, 'treated_pce': 18.0, 'control_voc': 1.13, 'treated_voc': 1.1}"
144,"{'perovskite_composition': None, 'electron_transport_layer': 'C60', 'hole_transport_layer': 'Poly(3,4-ethylenedioxythiophene):Poly(styrene sulfonate)', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'ethylenediammonium diiodide', 'control_pce': 19.6, 'treated_pce': 23.6, 'control_voc': 0.79, 'treated_voc': 0.89, 'test_3': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 180.0, 'efficiency_cont': 60.0, 'efficiency_tret': 65.0}, 'test_4': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 200.0, 'efficiency_cont': 60.0, 'efficiency_tret': 80.0}}"
146,"{'perovskite_composition': 'Cs0.05(MA0.05FA0.95)0.95Pb(I0.95Br0.05)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz', 'structure_pin_nip': 'PIN', 'passivating_molecule': 'ortho-carborane decorated with phenylamino groups', 'control_pce': 21.5, 'treated_pce': 23.0, 'control_voc': 1.12, 'treated_voc': 1.17, 'test_1': {'stability_type': None, 'humidity': 30.0, 'temperature': 40.0, 'time': 400.0, 'efficiency_cont': 89.0, 'efficiency_tret': 97.0}}"
147,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': 'Tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'carbazole-triphenylamine and phenylammonium iodide units', 'control_pce': 22.3, 'treated_pce': 24.7, 'control_voc': 1.11, 'treated_voc': 1.16, 'test_2': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': 85.0, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 92.3}, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1100.0, 'efficiency_cont': 66.6, 'efficiency_tret': 94.6}}"
148,"{'perovskite_composition': 'Cs0.05FA0.85MA0.10Pb(I0.97Br0.03)3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'phenylethylammonium iodide', 'control_pce': 21.2, 'treated_pce': 22.7, 'control_voc': 1.09, 'treated_voc': 1.12, 'test_1': {'stability_type': 'ISOSLT', 'humidity': '50-70', 'temperature': None, 'time': 500.0, 'efficiency_cont': 70.0, 'efficiency_tret': 84.0}}"
148,"{'perovskite_composition': 'Cs0.05FA0.85MA0.10Pb(I0.97Br0.03)3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '4-tert-butyl-benzylammonium iodide', 'control_pce': 21.2, 'treated_pce': 23.5, 'control_voc': 1.09, 'treated_voc': 1.14, 'test_2': {'stability_type': 'ISOSLT', 'humidity': '50-70', 'temperature': None, 'time': 500.0, 'efficiency_cont': 70.0, 'efficiency_tret': 95.0}}"
149,"{'perovskite_composition': 'FA0.7MA0.3Pb0.5Sn0.5I3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': None, 'passivating_molecule': 'Trifluoromethyl-phenylammonium chloride', 'control_pce': 24.3, 'treated_pce': 26.4, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSLT', 'humidity': '30-50', 'temperature': 35.0, 'time': 600.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
