id,paper_num,output
0_54,0,"{'perovskite_composition': 'Cs0.05FA0.85MA0.1PbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz and Me-4PACz', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': '4-chlorobenzenesulfonate (4Cl-BZS)', 'humidity': None, 'temperature': 65.0, 'time': 1200.0, 'control_pce': 24.0, 'treated_pce': 26.9, 'control_voc': None, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': 95.0}}"
1_22,1,"{'perovskite_composition': None, 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': 'phenethylammonium', 'humidity': None, 'temperature': 85.0, 'time': 500.0, 'control_pce': None, 'treated_pce': 19.1, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': None}}"
2_75,2,"{'perovskite_composition': '(BA)2PbI 4', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 25.0, 'time': 1620.0, 'control_pce': 22.3, 'treated_pce': 24.3, 'control_voc': None, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': 98.0, 'efficiency_cont': 58.6}, 'test_1_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 85.0, 'time': 1056.0, 'control_pce': None, 'treated_pce': 21.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 94.0}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 25.0, 'time': 1620.0, 'control_pce': None, 'treated_pce': 24.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 98.0}}"
3_52,3,"{'perovskite_composition': 'Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL1', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 2000.0, 'control_pce': None, 'treated_pce': 24.5, 'control_voc': None, 'treated_voc': 1.2, 'efficiency_control': None, 'efficiency_tret': 99.0, 'efficiency_cont': 25.0}}"
4_26,4,"{'perovskite_composition': '(MAPbBr3)0.05(FAPbI3)0.95', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP'}"
5_25,5,"{'perovskite_composition': 'BA2PbI 4', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'iso-butylamine iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 22.1, 'control_voc': None, 'treated_voc': 1.13, 'efficiency_control': None, 'efficiency_tret': None}}"
6_28,6,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'phenylethylammonium iodide', 'humidity': None, 'temperature': None, 'time': 1344.0, 'control_pce': None, 'treated_pce': 18.8, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': 97.0}}"
7_79,7,"{'perovskite_composition': 'CsPbBr 3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': '(ethylenedioxy)bis(ethylammonium)', 'humidity': 65.0, 'temperature': None, 'time': 1000.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 90.0}}"
8_56,8,"{'perovskite_composition': None, 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'ethylammonium pyrene', 'humidity': None, 'temperature': 40.0, 'time': 2000.0, 'control_pce': 19.3, 'treated_pce': 22.4, 'control_voc': None, 'treated_voc': 1.17, 'efficiency_control': None, 'efficiency_tret': 0.85, 'efficiency_cont': 0.6}}"
9_25,9,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'EDBE', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 14.6, 'treated_pce': 17.6, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
10_39,10,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'OATsO', 'humidity': None, 'temperature': None, 'time': 800.0, 'control_pce': None, 'treated_pce': 24.4, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 100.0}, 'test_1_2': {'stability_type': 'ISOSL', 'passivating_molecule': 'OABF4', 'humidity': None, 'temperature': 40.0, 'time': 500.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 91.5}}"
11_67,11,"{'perovskite_composition': None, 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'benzotriazole', 'humidity': None, 'temperature': None, 'time': 24.0, 'control_pce': 20.2, 'treated_pce': 21.8, 'control_voc': 1.11, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': 104.0, 'efficiency_cont': 98.0}}"
12_30,12,"{'perovskite_composition': 'Cs0.15FA0.85PbI2.19Br0.81', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'butylammonium bromide', 'humidity': None, 'temperature': None, 'time': 20.0, 'control_pce': None, 'treated_pce': 19.8, 'control_voc': 17.5, 'treated_voc': 1.31, 'efficiency_control': None, 'efficiency_tret': None}}"
13_50,13,"{'perovskite_composition': 'Cs0.12FA0.8MA0.08PbI1.8Br1', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': None, 'passivating_molecule': '2-thiopheneethylammonium chloride', 'humidity': None, 'temperature': None, 'time': 9.0, 'control_pce': None, 'treated_pce': 23.8, 'control_voc': None, 'treated_voc': 1.29, 'efficiency_control': None, 'efficiency_tret': None, 'efficiency_cont': 80.0}, 'test_1_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 60.0, 'time': 265.0, 'control_pce': None, 'treated_pce': 23.8, 'control_voc': None, 'treated_voc': 1.29, 'efficiency_control': None, 'efficiency_tret': 92.0, 'efficiency_cont': 82.0}}"
14_24,14,"{'perovskite_composition': 'Cs0.05(FA5/6MA1/6)0.95Pb(I0.85Br0.15 )3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'chlorophenylethylammonium iodide', 'humidity': None, 'temperature': None, 'time': 33.0, 'control_pce': 21.5, 'treated_pce': 23.7, 'control_voc': 1.1, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': 100.0, 'efficiency_cont': 90.0}}"
15_27,15,"{'perovskite_composition': 'Cs0.05(FA5/6MA1/6)0.95Pb(I0.9Br0.1)3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': None, 'passivating_molecule': 'fluorophenylethylammonium iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 21.7, 'treated_pce': 23.7, 'control_voc': 1.11, 'treated_voc': 1.17, 'efficiency_control': None, 'efficiency_tret': None}}"
16_11,16,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'CF3-phenethylammonium', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 18.8, 'treated_pce': 21.0, 'control_voc': 1.04, 'treated_voc': 1.11, 'efficiency_control': None, 'efficiency_tret': None}}"
17_29,17,"{'perovskite_composition': 'Cs0.05FA0.81MA0.14PbI2.55Br0.45', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 48.0, 'control_pce': 20.0, 'treated_pce': 20.9, 'control_voc': 1.16, 'treated_voc': 1.19, 'efficiency_control': None, 'efficiency_tret': 86.0}}"
18_37,18,"{'perovskite_composition': None, 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': '2-thiophenemethylammonium iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
19_55,19,"{'perovskite_composition': 'Cs 0.05 MA 0.05 FA 0.9 Pb(I 0.95 Br 0.05 ) 3', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': '3,4,5-trifluoroanilinium', 'humidity': 50.0, 'temperature': 85.0, 'time': 1560.0, 'control_pce': 21.0, 'treated_pce': 24.0, 'control_voc': 1.26, 'treated_voc': 1.27, 'efficiency_control': None, 'efficiency_tret': None}, 'test_2': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': 50.0, 'temperature': 85.0, 'time': 1586.0, 'control_pce': None, 'treated_pce': 21.5, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 84.0}}"
20_14,20,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'phenylethylammonium lead iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
#:21_32,21,"{'perovskite_composition': '(FAPbI3)0.92(MAPbBr3)0.08', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 22.3, 'treated_pce': 21.3, 'control_voc': 1.16, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': None}}"
22_13,22,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'cyclohexylmethylammonium iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 21.4, 'treated_pce': 23.9, 'control_voc': 1.09, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': 95.0}, 'test_1_2': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': '20-30', 'temperature': None, 'time': 2400.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 91.0, 'efficiency_cont': 85.0}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 1050.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 95.0, 'efficiency_cont': 76.0}, 'test_3_2': {'stability_type': 'ISOSD2', 'passivating_molecule': None, 'humidity': '40+-10', 'temperature': 50.0, 'time': 500.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 73.0, 'efficiency_cont': 40.0}, 'test_3': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 93.0}}"
23_71,23,"{'perovskite_composition': 'Cs0.05MA0.1FA0.85PbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL1', 'passivating_molecule': 'phenethylammonium iodide', 'humidity': 50.0, 'temperature': None, 'time': 1000.0, 'control_pce': None, 'treated_pce': 23.9, 'control_voc': None, 'treated_voc': 1.15, 'efficiency_control': None, 'efficiency_tret': 100.0}, 'test_2': {'stability_type': 'ISOSL3', 'passivating_molecule': None, 'humidity': None, 'temperature': 65.0, 'time': 500.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 92.0}}"
24_30,24,"{'perovskite_composition': 'CsPbI 3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'copper(I) thiocyanate', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': None, 'temperature': 110.0, 'time': 2100.0, 'control_pce': 14.9, 'treated_pce': 17.4, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 80.0}}"
25_9,25,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
26_27,26,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
27_40,27,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'trifluoromethylphenylethylammonium', 'humidity': None, 'temperature': None, 'time': 2000.0, 'control_pce': None, 'treated_pce': 18.5, 'control_voc': None, 'treated_voc': 1.23, 'efficiency_control': None, 'efficiency_tret': 100.0}}"
28_43,28,"{'perovskite_composition': 'CsPbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
#:29_27,29,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
30_60,30,"{'perovskite_composition': 'FACsPbI 3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': 10.9, 'treated_pce': 23.2, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': 80.0}}"
31_27,31,"{'perovskite_composition': 'Rb0.05Cs0.05MA0.05FA0.85Pb(I0.95Br0.05)3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'MeO-2PACZ', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': '3-(aminomethyl)pyridine', 'humidity': None, 'temperature': 55.0, 'time': 2428.0, 'control_pce': 23.3, 'treated_pce': 25.4, 'control_voc': None, 'treated_voc': 1.19, 'efficiency_control': None, 'efficiency_tret': 87.0, 'efficiency_cont': 76.0}, 'test_2': {'stability_type': 'ISOSL2', 'passivating_molecule': None, 'humidity': None, 'temperature': 65.0, 'time': 1315.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 90.0}, 'test_3': {'stability_type': 'ISOSD3', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 85.0, 'time': 850.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 94.0}}"
32_15,32,"{'perovskite_composition': 'Methylammonium Lead Iodide', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
33_44,33,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
35_7,35,"{'perovskite_composition': '(CsPbI3)0.05[(FAPbI3)0.83(MAPbBr3)0.17]0.95', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None}"
36_26,36,"{'perovskite_composition': 'FA0.8MA0.2PbI 3', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': None, 'passivating_molecule': 'tri-octyl phosphine oxide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 22.4, 'control_voc': 1.07, 'treated_voc': 1.09, 'efficiency_control': None, 'efficiency_tret': None}}"
37_40,37,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': '1,3-propylene diammonium', 'humidity': None, 'temperature': None, 'time': 700.0, 'control_pce': None, 'treated_pce': 19.0, 'control_voc': None, 'treated_voc': 1.35, 'efficiency_control': None, 'efficiency_tret': 100.0}, 'test_2': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': None, 'treated_pce': 26.3, 'control_voc': None, 'treated_voc': 2.19, 'efficiency_control': None, 'efficiency_tret': 86.0}}"
39_14,39,"{'perovskite_composition': '(FAPbI 3 ) 0.87(MAPbBr3)0.13]0.92(CsPbI3)0.08', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': '2-thiophenemethylammonium bromide', 'humidity': None, 'temperature': None, 'time': 1000.0, 'control_pce': 20.7, 'treated_pce': 20.8, 'control_voc': 1.09, 'treated_voc': 1.17, 'efficiency_control': None, 'efficiency_tret': 75.0, 'efficiency_cont': 65.0}}"
40_21,40,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': 'PTAA', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'oleylammonium iodide', 'humidity': 85.0, 'temperature': 85.0, 'time': 1000.0, 'control_pce': None, 'treated_pce': 24.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 95.0}}"
41_47,41,"{'perovskite_composition': None, 'electron_transport_layer': 'SnO2', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'ortho-(phenylene)di(ethylammonium) iodide', 'humidity': '40-50', 'temperature': 85.0, 'time': 1008.0, 'control_pce': 20.8, 'treated_pce': 23.9, 'control_voc': 1.13, 'treated_voc': 1.15, 'efficiency_control': None, 'efficiency_tret': 85.0, 'efficiency_cont': 58.0}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': 'ortho-(phenylene)di(ethylammonium) iodide', 'humidity': None, 'temperature': 85.0, 'time': 1000.0, 'control_pce': 20.3, 'treated_pce': 22.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 75.0, 'efficiency_cont': 51.0}, 'test_3': {'stability_type': 'ISOSLT', 'passivating_molecule': 'ortho-(phenylene)di(ethylammonium) iodide', 'humidity': None, 'temperature': None, 'time': 1100.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 90.0, 'efficiency_cont': 60.0}}"
42_18,42,"{'perovskite_composition': 'Cs0.05MA0.1FA0.85PbI2.7Br0.3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'azetidinium lead iodide', 'humidity': None, 'temperature': 52.0, 'time': 1000.0, 'control_pce': None, 'treated_pce': 22.4, 'control_voc': 1.07, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': 85.0, 'efficiency_cont': 47.0}}"
43_36,43,"{'perovskite_composition': 'FAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': '80+-20', 'temperature': None, 'time': 500.0, 'control_pce': 23.0, 'treated_pce': 24.5, 'control_voc': 1.12, 'treated_voc': 1.15, 'efficiency_control': None, 'efficiency_tret': 47.9, 'efficiency_cont': 9.65}}"
44_15,44,"{'perovskite_composition': None, 'electron_transport_layer': 'Silicon Oxide', 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 21.1, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
45_12,45,"{'perovskite_composition': None, 'electron_transport_layer': 'Silicon dioxide', 'hole_transport_layer': None, 'structure_pin_nip': None}"
46_41,46,"{'perovskite_composition': 'CsPbI0.05[(FAPbI3)0.89(MAPbBr3)0.11]0.95', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'Lithium Fluoride', 'humidity': 25.0, 'temperature': 25.0, 'time': 100.0, 'control_pce': None, 'treated_pce': 19.6, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': 0.6}}"
47_36,47,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': None, 'hole_transport_layer': 'PTAA', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': '60+-10', 'temperature': 65.0, 'time': 1200.0, 'control_pce': 18.2, 'treated_pce': 24.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 96.8}}"
